title,price,item_url,image_url,category
Hollywood Beauty Spell!  Works in 30 days!,26.07,https://www.etsy.com/ca/listing/1008050222/hollywood-beauty-spell-works-in-30-days?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-1&plkey=ef6c9d5911991ed635e0fdf397966286259ae478%3A1008050222&frs=1,https://i.etsystatic.com/28660263/d/il/7116e8/3140179557/il_340x270.3140179557_ino4.jpg?version=0,beauty
The machine!,13.00,https://www.etsy.com/ca/listing/665637860/the-machine?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-2&plkey=3a58fb92a87430b2e34b2d30cbd599ff93962233%3A665637860&bes=1,https://i.etsystatic.com/17885956/d/il/cc2d18/2852069003/il_340x270.2852069003_r4pz.jpg?version=0,beauty
Extreme BEAUTY SPELL that Works!,89.94,https://www.etsy.com/ca/listing/860162722/extreme-beauty-spell-that-works?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-3&plkey=354856e5631710a943d9215be702b453c697b724%3A860162722&frs=1&bes=1,https://i.etsystatic.com/10636084/d/il/91f3b4/2540257612/il_340x270.2540257612_h2fg.jpg?version=0,beauty
Same Day Dispatch - SET OF 3 - Silk Face Mask - Made in UK -  Adult Face Mask - Black Mask - Cloth Face Mask - Black Silk Face Mask,1.90,https://www.etsy.com/ca/listing/805601968/same-day-dispatch-set-of-3-silk-face?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sc_gallery-1-4&plkey=81fa85fb77b391adf9d5aeb728b4c412ec91e26f%3A805601968&pro=1,https://i.etsystatic.com/21703996/c/3000/2384/0/0/il/40cec5/2859667738/il_340x270.2859667738_5fbs.jpg,beauty
Tomato Black Beauty Organic Seeds 10,2.72,https://www.etsy.com/ca/listing/868301877/tomato-black-beauty-organic-seeds-10?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-1&organic_search_click=1&frs=1,https://i.etsystatic.com/12269989/d/il/90862e/2565673279/il_340x270.2565673279_d3lb.jpg?version=0,beauty
Essential Oils - you pick 8ml,10.43,https://www.etsy.com/ca/listing/856781929/essential-oils-you-pick-8ml?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-2&organic_search_click=1&frs=1&bes=1,https://i.etsystatic.com/13862229/d/il/acc6ad/2526661321/il_340x270.2526661321_4xo4.jpg?version=0,beauty
Beauty & Beast Sandblasted Glass,10.00,https://www.etsy.com/ca/listing/944434341/beauty-beast-sandblasted-glass?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-3&organic_search_click=1,https://i.etsystatic.com/26940158/c/1193/948/229/255/il/c5960f/3022892997/il_340x270.3022892997_20qh.jpg,beauty
"Soap, by the sea, Small size of about 60 g",15.00,https://www.etsy.com/ca/listing/872449722/soap-by-the-sea-small-size-of-about-60-g?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-4&organic_search_click=1&frs=1,https://i.etsystatic.com/24473877/d/il/2fcaf7/2635674795/il_340x270.2635674795_3h10.jpg?version=0,beauty
"Logo Design, Watermark Signature, Business Brand Logo, Elegant Signature Logo, Neutral Blush Logo, Watermark Logo, Beauty Branding",6.75,https://www.etsy.com/ca/listing/996806671/logo-design-watermark-signature-business?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-5&organic_search_click=1&frs=1,https://i.etsystatic.com/13614029/c/3000/2387/0/0/il/dc5951/2998924970/il_340x270.2998924970_j0gu.jpg,beauty
Royal Albert American Beauty Dinner Service for Four - 28 Pieces,25.00,https://www.etsy.com/ca/listing/946735294/royal-albert-american-beauty-dinner?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=beauty&ref=sr_gallery-1-6&organic_search_click=1&frs=1&cns=1,https://i.etsystatic.com/20952126/d/il/8fea0c/2911190383/il_340x270.2911190383_dh0p.jpg?version=1,beauty
